level,episode,success,reward,steps,steps_to_key,steps_key_to_goal,failure_reason
test_level_1,0,True,22.0,10,4.0,6.0,success
test_level_1,1,True,22.0,10,4.0,6.0,success
test_level_1,2,True,22.0,10,4.0,6.0,success
test_level_1,3,True,22.0,10,4.0,6.0,success
test_level_1,4,True,22.0,10,4.0,6.0,success
test_level_10,0,False,-111.90000000000043,242,80.0,,timeout
test_level_10,1,False,-107.55000000000042,242,,,timeout
test_level_10,2,False,-110.15000000000046,242,31.0,,timeout
test_level_10,3,False,-120.45000000000046,242,47.0,,timeout
test_level_10,4,False,-108.55000000000045,242,,,timeout
test_level_2,0,True,22.0,10,4.0,6.0,success
test_level_2,1,True,22.0,10,4.0,6.0,success
test_level_2,2,True,21.75,12,6.0,6.0,success
test_level_2,3,True,22.0,10,4.0,6.0,success
test_level_2,4,True,22.0,10,4.0,6.0,success
test_level_3,0,True,21.799999999999997,12,5.0,7.0,success
test_level_3,1,True,21.799999999999997,12,5.0,7.0,success
test_level_3,2,True,21.799999999999997,12,5.0,7.0,success
test_level_3,3,True,21.799999999999997,12,5.0,7.0,success
test_level_3,4,True,21.799999999999997,12,5.0,7.0,success
test_level_4,0,True,21.799999999999997,12,5.0,7.0,success
test_level_4,1,True,21.799999999999997,12,5.0,7.0,success
test_level_4,2,True,21.799999999999997,12,5.0,7.0,success
test_level_4,3,True,21.799999999999997,12,5.0,7.0,success
test_level_4,4,True,21.799999999999997,12,5.0,7.0,success
test_level_5,0,True,-6.449999999999996,63,53.0,10.0,success
test_level_5,1,False,-71.60000000000021,162,,,timeout
test_level_5,2,True,-22.65000000000002,99,88.0,11.0,success
test_level_5,3,False,-71.1500000000002,162,,,timeout
test_level_5,4,False,-71.60000000000021,162,,,timeout
test_level_6,0,False,-74.50000000000024,162,,,timeout
test_level_6,1,False,-68.45000000000019,162,58.0,,timeout
test_level_6,2,False,-72.25000000000021,162,,,timeout
test_level_6,3,False,-63.75000000000018,162,47.0,,timeout
test_level_6,4,False,-72.25000000000021,162,,,timeout
test_level_7,0,False,-91.20000000000029,200,,,timeout
test_level_7,1,False,-100.20000000000033,200,,,timeout
test_level_7,2,False,-92.00000000000033,200,,,timeout
test_level_7,3,False,-91.70000000000032,200,,,timeout
test_level_7,4,False,-91.60000000000034,200,,,timeout
test_level_8,0,True,-8.549999999999994,64,4.0,60.0,success
test_level_8,1,True,-47.75000000000011,151,4.0,147.0,success
test_level_8,2,False,-95.10000000000038,200,4.0,,timeout
test_level_8,3,True,-29.150000000000063,115,4.0,111.0,success
test_level_8,4,True,-18.799999999999997,92,4.0,88.0,success
test_level_9,0,True,-63.25000000000025,179,5.0,174.0,success
test_level_9,1,True,0.2000000000000064,38,5.0,33.0,success
test_level_9,2,True,-2.9499999999999886,45,5.0,40.0,success
test_level_9,3,False,-109.40000000000045,242,6.0,,timeout
test_level_9,4,True,-36.5500000000001,121,5.0,116.0,success
